	Genome	Original_name	Study_set	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	CMseq	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	MGnify_accession	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
27	GUT_GENOME000030	12718_7_23	HBC	Isolate	2927352	14	523819	32.39	99.44	1.39		0.0	99.74	99.76	20		GUT_GENOME000030	MGYG-HGUT-00011	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus_B	ERS417230	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00011/genomes1/GUT_GENOME000030.gff.gz
28	GUT_GENOME000031	12718_7_24	HBC	Isolate	4053578	22	610128	43.87	99.81	0.2		94.96	99.67	99.79	19		GUT_GENOME000031	MGYG-HGUT-00012	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis	ERS417231	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00012/genomes1/GUT_GENOME000031.gff.gz
32	GUT_GENOME000035	12718_7_29	HBC	Isolate	6368131	56	251050	42.15	99.08	0.08		94.96	69.41	88.14	20		GUT_GENOME000035	MGYG-HGUT-00013	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	ERS417236	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00013/genomes1/GUT_GENOME000035.gff.gz
41	GUT_GENOME000046	12718_7_39	HBC	Isolate	4564490	77	140666	28.52	99.19	0.0		94.96	99.74	99.83	20		GUT_GENOME000046	MGYG-HGUT-00014	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum	ERS417246	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00014/genomes1/GUT_GENOME000046.gff.gz
42	GUT_GENOME000047	12718_7_3	HBC	Isolate	4878624	76	102700	55.32	98.78	0.1		95.8	99.67	99.86	20		GUT_GENOME000047	MGYG-HGUT-00015	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter mori	ERS417210	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00015/genomes1/GUT_GENOME000047.gff.gz
43	GUT_GENOME000049	12718_7_41	HBC	Isolate	2568483	48	108113	45.3	97.32	0.0		0.0	99.61	99.86	20		GUT_GENOME000049	MGYG-HGUT-00016	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum sp001304995	ERS417248	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00016/genomes1/GUT_GENOME000049.gff.gz
48	GUT_GENOME000054	12718_7_46	HBC	Isolate	2173077	62	71741	59.71	100.0	0.81		94.12	99.61	99.45	20		GUT_GENOME000054	MGYG-HGUT-00017	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	ERS417253	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00017/genomes1/GUT_GENOME000054.gff.gz
49	GUT_GENOME000055	12718_7_47	HBC	Isolate	3280206	34	193753	43.2	99.33	0.0		0.0	99.74	99.79	20		GUT_GENOME000055	MGYG-HGUT-00018	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus	ERS417254	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00018/genomes1/GUT_GENOME000055.gff.gz
50	GUT_GENOME000057	12718_7_49	HBC	Isolate	4947645	86	130315	56.16	99.22	0.18		95.8	99.67	87.9	19		GUT_GENOME000057	MGYG-HGUT-00019	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__	ERS417256	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00019/genomes1/GUT_GENOME000057.gff.gz
56	GUT_GENOME000064	12718_7_56	HBC	Isolate	1923676	101	39114	41.82	99.18	0.0		94.12	99.74	99.83	20		GUT_GENOME000064	MGYG-HGUT-00020	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_D;s__Lactobacillus_D curvatus	ERS417263	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00020/genomes1/GUT_GENOME000064.gff.gz
57	GUT_GENOME000067	12718_7_59	HBC	Isolate	1945991	42	80261	40.13	99.46	0.54		0.0	99.67	99.83	20		GUT_GENOME000067	MGYG-HGUT-00021	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_H;s__Lactobacillus_H vaginalis_A	ERS417266	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00021/genomes1/GUT_GENOME000067.gff.gz
69	GUT_GENOME000092	12718_7_84	HBC	Isolate	3052215	70	117809	56.44	100.0	0.0		94.12	81.87	99.83	20		GUT_GENOME000092	MGYG-HGUT-00022	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C	ERS417301	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00022/genomes1/GUT_GENOME000092.gff.gz
70	GUT_GENOME000094	12718_7_87	HBC	Isolate	2130721	26	135306	41.65	98.81	0.17		93.28	99.74	99.76	20		GUT_GENOME000094	MGYG-HGUT-00023	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis	ERS417304	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00023/genomes1/GUT_GENOME000094.gff.gz
79	GUT_GENOME000104	12718_7_9	HBC	Isolate	3641596	33	215844	28.16	99.3	0.7		89.08	99.74	99.83	20		GUT_GENOME000104	MGYG-HGUT-00024	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium massiliensis	ERS417216	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00024/genomes1/GUT_GENOME000104.gff.gz
81	GUT_GENOME000106	13154_4_43	HBC	Isolate	2822365	39	300583	33.06	99.45	1.1		94.96	99.74	99.76	20		GUT_GENOME000106	MGYG-HGUT-00025	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus nepalensis	ERS417229	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00025/genomes1/GUT_GENOME000106.gff.gz
83	GUT_GENOME000109	13414_6_10	HBC	Isolate	2527394	196	27326	34.16	100.0	0.0		74.79	99.61	99.83	20		GUT_GENOME000109	MGYG-HGUT-00026	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai	ERS2046316	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00026/genomes1/GUT_GENOME000109.gff.gz
85	GUT_GENOME000111	13414_6_12	HBC	Isolate	2393568	52	109196	58.19	99.81	0.55		94.12	99.74	86.8	20		GUT_GENOME000111	MGYG-HGUT-00027	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii	ERS852385	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00027/genomes1/GUT_GENOME000111.gff.gz
87	GUT_GENOME000113	13414_6_14	HBC	Isolate	2458424	26	229861	36.66	99.33	2.01		0.0	99.61	99.69	20		GUT_GENOME000113	MGYG-HGUT-00028	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus_A	ERS852387	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00028/genomes1/GUT_GENOME000113.gff.gz
95	GUT_GENOME000122	13414_6_24	HBC	Isolate	4415867	50	139653	42.18	93.87	0.0		94.96	99.67	99.56	20		GUT_GENOME000122	MGYG-HGUT-00029	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii	ERS852397	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00029/genomes1/GUT_GENOME000122.gff.gz
99	GUT_GENOME000128	13414_6_2	HBC	Isolate	3025028	36	183902	34.03	99.33	0.0		0.0	99.67	99.76	20		GUT_GENOME000128	MGYG-HGUT-00030	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-603;s__CAG-603 sp900066105	ERS852376	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00030/genomes1/GUT_GENOME000128.gff.gz
102	GUT_GENOME000131	13414_6_32	HBC	Isolate	3671861	41	160784	43.93	99.37	0.32		82.35	99.67	88.79	20		GUT_GENOME000131	MGYG-HGUT-00031	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066205	ERS852405	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00031/genomes1/GUT_GENOME000131.gff.gz
104	GUT_GENOME000133	13414_6_34	HBC	Isolate	6969460	95	157466	48.94	99.37	1.58		92.44	99.61	89.2	20		GUT_GENOME000133	MGYG-HGUT-00032	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii	ERS852407	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00032/genomes1/GUT_GENOME000133.gff.gz
106	GUT_GENOME000136	13414_6_37	HBC	Isolate	3010183	70	91380	38.23	97.99	1.01		94.96	99.67	99.83	20		GUT_GENOME000136	MGYG-HGUT-00033	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215	ERS852410	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00033/genomes3/GUT_GENOME000136.gff.gz
107	GUT_GENOME000137	13414_6_39	HBC	Isolate	2753524	27	287274	47.05	98.66	0.13		94.12	99.61	99.83	20		GUT_GENOME000137	MGYG-HGUT-00034	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilimaliae;s__Massilimaliae timonensis	ERS852412	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00034/genomes1/GUT_GENOME000137.gff.gz
109	GUT_GENOME000139	13414_6_41	HBC	Isolate	3529520	23	286467	44.91	99.37	1.74		0.0	99.61	99.66	20		GUT_GENOME000139	MGYG-HGUT-00035	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica	ERS852414	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00035/genomes1/GUT_GENOME000139.gff.gz
111	GUT_GENOME000141	13414_6_43	HBC	Isolate	2411069	29	209319	37.71	99.33	0.34		91.6	99.74	99.86	20		GUT_GENOME000141	MGYG-HGUT-00036	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__GCA-900066995;s__GCA-900066995 sp900291955	ERS852416	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00036/genomes1/GUT_GENOME000141.gff.gz
117	GUT_GENOME000147	13414_6_49	HBC	Isolate	2730778	111	53020	34.23	91.6	1.84		72.27	99.74	99.83	20		GUT_GENOME000147	MGYG-HGUT-00037	d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sp001543345	ERS852422	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00037/genomes1/GUT_GENOME000147.gff.gz
119	GUT_GENOME000149	13414_6_50	HBC	Isolate	3124251	51	145632	41.46	99.42	0.0		0.0	94.72	87.35	20		GUT_GENOME000149	MGYG-HGUT-00038	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena	ERS852423	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00038/genomes1/GUT_GENOME000149.gff.gz
122	GUT_GENOME000152	13414_6_53	HBC	Isolate	2848015	65	96457	57.73	99.32	0.0		94.12	81.6	96.85	20		GUT_GENOME000152	MGYG-HGUT-00039	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_H	ERS852426	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00039/genomes1/GUT_GENOME000152.gff.gz
129	GUT_GENOME000159	13414_6_60	HBC	Isolate	2646768	35	135012	47.78	98.58	2.13		94.12	99.74	99.86	20		GUT_GENOME000159	MGYG-HGUT-00040	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305	ERS852433	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00040/genomes1/GUT_GENOME000159.gff.gz
136	GUT_GENOME000166	13414_6_67	HBC	Isolate	3646129	83	101294	45.85	99.52	1.45		0.0	99.61	99.83	20		GUT_GENOME000166	MGYG-HGUT-00041	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066365	ERS852440	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00041/genomes3/GUT_GENOME000166.gff.gz
156	GUT_GENOME000187	13470_2_62	HBC	Isolate	3613213	51	163040	40.19	97.01	0.12		94.96	99.67	99.59	20		GUT_GENOME000187	MGYG-HGUT-00042	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__Bacteroides_A sp900066445	ERS852458	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00042/genomes1/GUT_GENOME000187.gff.gz
158	GUT_GENOME000189	13470_2_64	HBC	Isolate	4183526	127	66737	46.41	98.88	0.56		0.0	99.67	74.63	20		GUT_GENOME000189	MGYG-HGUT-00043	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__Bacteroides_A sp900066455	ERS852460	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00043/genomes1/GUT_GENOME000189.gff.gz
161	GUT_GENOME000192	13470_2_67	HBC	Isolate	4300419	39	240621	45.3	99.62	0.0		0.0	99.67	99.56	20		GUT_GENOME000192	MGYG-HGUT-00044	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	ERS852463	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00044/genomes1/GUT_GENOME000192.gff.gz
165	GUT_GENOME000196	13470_2_71	HBC	Isolate	2722755	46	118377	29.27	99.06	0.0		68.07	99.67	99.79	20		GUT_GENOME000196	MGYG-HGUT-00045	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium sp000752095	ERS852467	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00045/genomes2/GUT_GENOME000196.gff.gz
167	GUT_GENOME000198	13470_2_73	HBC	Isolate	2558115	69	75738	52.7	99.4	1.2		92.44	99.67	99.79	19		GUT_GENOME000198	MGYG-HGUT-00046	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera sp900066485	ERS852469	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00046/genomes1/GUT_GENOME000198.gff.gz
169	GUT_GENOME000200	13470_2_75	HBC	Isolate	3448644	61	142689	28.83	96.77	3.41		95.8	94.26	92.27	20		GUT_GENOME000200	MGYG-HGUT-00047	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum	ERS852471	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00047/genomes1/GUT_GENOME000200.gff.gz
171	GUT_GENOME000202	13470_2_77	HBC	Isolate	2457223	32	342082	27.23	98.39	1.29		82.35	99.67	99.83	20		GUT_GENOME000202	MGYG-HGUT-00048	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P ventriculi	ERS852473	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00048/genomes1/GUT_GENOME000202.gff.gz
